id,name,dim,type,human,ai,gap,detail,absgap
REV_SUS_001,Global Withholding Intensity,revelation,ordinal,23.0,33.0,10.0,'low': human 23% vs AI 33%,10.0
REV_SUS_002,Visibility of Withholding,revelation,categorical,39.0,30.0,-10.0,'implicit_omission_only': human 39% vs AI 30%,10.0
REV_SUS_003,Resolution of Backward-Looking Mysteries,revelation,categorical,14.0,10.0,-5.0,'partially_resolved': human 14% vs AI 10%,5.0
REV_SUS_004,Dominant Suspense Source,revelation,categorical,5.0,12.0,7.0,'moral_or_existential_choice': human 5% vs AI 12%,7.0
REV_SUS_007,Pre-Threat Character Investment,revelation,scale,2.77,2.99,0.22,mean human 2.77 vs AI 2.99,0.22
REV_SUS_008,Mystery Orientation,revelation,categorical,19.0,26.0,8.0,'none': human 19% vs AI 26%,8.0
REV_SUS_009,Mystery Resolution Closure,revelation,binary,15.0,11.0,-4.0,'no': human 15% vs AI 11%,4.0
REV_SUS_005,Reader Expectation Strategy,revelation,categorical,53.0,73.0,21.0,'sets_up_and_fulfills_expectations': human 53% vs AI 73%,21.0
REV_SUR_003,Depth of Recontextualization After Surprise,revelation,scale,3.29,2.95,-0.34,mean human 3.29 vs AI 2.95,0.34
REV_SUR_004,Predominant Reader–Character Knowledge Alignment,revelation,categorical,64.0,80.0,16.0,'reader_and_character_roughly_aligned': human 64% vs AI 80%,16.0
REV_SUR_005,Reader-Superior Knowledge Extent,revelation,ordinal,82.0,92.0,9.0,'none_reader_aligned': human 82% vs AI 92%,9.0
REV_SUR_006,Function of Dramatic Irony,revelation,multi_select,32.0,27.0,-5.0,'tragic_pathos': human 32% vs AI 27%,5.0
REV_DIS_001,Overall Revelation Pacing Pattern,revelation,categorical,66.0,48.0,-18.0,'back_loaded_key_revelations_near_end': human 66% vs AI 48%,18.0
REV_DIS_002,Granularity of Revelations,revelation,categorical,14.0,22.0,8.0,'mostly_many_small_incremental_reveals': human 14% vs AI 22%,8.0
REV_DIS_003,Use of Nonlinear Framing for Delayed Disclosure,revelation,scale,1.96,1.68,-0.28,mean human 1.96 vs AI 1.68,0.28
REV_DIS_006,Primary Epistemic Engine of Interest,revelation,categorical,63.0,53.0,-11.0,'backward_mystery_what_really_happened': human 63% vs AI 53%,11.0
REV_DIS_007,Dominant Channels of Major Revelations,revelation,multi_select,75.0,82.0,7.0,'internal_monologue_or_memory': human 75% vs AI 82%,7.0
REV_SUR_007,Twist Placement Pattern,revelation,categorical,61.0,45.0,-16.0,'climactic_end_twist': human 61% vs AI 45%,16.0
REV_SUR_009,Twist Foreshadowing Degree,revelation,ordinal,13.0,7.0,-6.0,'minimally_foreshadowed': human 13% vs AI 7%,6.0
REV_SUR_010,Use of Red Herrings,revelation,binary,67.0,84.0,18.0,'no': human 67% vs AI 84%,18.0
REV_DIS_012,Primary Focus of Withheld Information,revelation,multi_select,81.0,73.0,-9.0,'causal_past_events_or_backstory': human 81% vs AI 73%,9.0
REV_DIS_014,Resolution Explicitness of Core Questions,revelation,ordinal,84.0,88.0,4.0,'clear_and_explicit_answers_to_central_questions': human 84% vs AI 88%,4.0
REV_DIS_016,Information Source Diversity,revelation,multi_select,75.0,83.0,8.0,'internal_monologue_free_indirect_style': human 75% vs AI 83%,8.0
REV_DIS_017,Presence of Meta-Revelation,revelation,binary,4.0,3.0,-2.0,'yes': human 4% vs AI 3%,2.0
REV_DIS_018,Character Knowledge Change Arc,revelation,scale,4.19,4.29,0.1,mean human 4.19 vs AI 4.29,0.1
EVT_TYP_001,Event Density per Text Length,events,scale,3.22,3.07,-0.15,mean human 3.22 vs AI 3.07,0.15
EVT_TYP_006,Dominant Focal Level of Events,events,categorical,5.0,7.0,2.0,'community_or_institutional_scale': human 5% vs AI 7%,2.0
EVT_TYP_003,Local vs Global Event Orientation,events,categorical,33.0,41.0,8.0,'scene_based': human 33% vs AI 41%,8.0
EVT_TYP_004,Event-type diversity,events,ordinal,51.0,45.0,-5.0,'high_diversity': human 51% vs AI 45%,5.0
EVT_SCH_007,Escalation of stakes domain breadth,events,categorical,54.0,46.0,-9.0,'confined_to_single_domain': human 54% vs AI 46%,9.0
EVT_TYP_008,Event-time coverage of the main arc,events,ordinal,48.0,54.0,5.0,'several_days_to_months': human 48% vs AI 54%,5.0
EVT_SCH_004,Mode of resolution of the main event chain,events,categorical,27.0,47.0,20.0,'resolved_through_internal_understanding_or_acceptance': human 27% vs AI 47%,20.0
EVT_SCH_002,Arc Completeness Relative to Implied Plot,events,ordinal,96.0,95.0,-2.0,'full_arc_to_local_resolution': human 96% vs AI 95%,2.0
EVT_SCH_003,Strength of Event Escalation,events,scale,3.63,3.58,-0.05,mean human 3.63 vs AI 3.58,0.05
EVT_SCH_006,Use of Explicit Frame Narrative,events,binary,77.0,85.0,7.0,'no_frame_or_minimal_metacommentary': human 77% vs AI 85%,7.0
EVT_SCH_008,Dominant Event Initiation Source,events,categorical,65.0,62.0,-3.0,'character_choice_and_desire': human 65% vs AI 62%,3.0
EVT_CAU_001,Explicitness of causal links,events,categorical,5.0,8.0,3.0,'predominantly_explicit_causation': human 5% vs AI 8%,3.0
EVT_CAU_002,Continuity of the main causal chain,events,scale,3.92,4.2,0.28,mean human 3.92 vs AI 4.20,0.28
EVT_CAU_003,Attention to unintended consequences,events,binary,41.0,52.0,12.0,'no_salient_unintended_consequences': human 41% vs AI 52%,12.0
EVT_CAU_004,Perceived Determinism of Outcomes,events,ordinal,11.0,6.0,-5.0,'highly_contingent_or_random_feeling': human 11% vs AI 6%,5.0
EVT_CAU_005,Primary Agent of Causal Momentum,events,categorical,56.0,65.0,9.0,'protagonist_or_focal_character_driven': human 56% vs AI 65%,9.0
EVT_CAU_006,Treatment of Alternative or Repeated Event Paths,events,categorical,83.0,86.0,3.0,'single_linear_history_no_alternatives': human 83% vs AI 86%,3.0
EVT_TYP_009,Balance of present-time versus flashback events,events,categorical,67.0,79.0,13.0,'mostly_present_progression': human 67% vs AI 79%,13.0
EVT_CAU_008,Primary Progression Logic,events,categorical,4.0,1.0,-3.0,'nonlinear_fragmented': human 4% vs AI 1%,3.0
EVT_CAU_018,Use of Repetition or Variants as Event Engine,events,binary,11.0,8.0,-3.0,'yes': human 11% vs AI 8%,3.0
EVT_CAU_016,Temporal Scope of Events,events,categorical,38.0,43.0,5.0,'weeks_to_months': human 38% vs AI 43%,5.0
EVT_CAU_017,Event Novelty Orientation,events,scale,3.37,3.02,-0.36,mean human 3.37 vs AI 3.02,0.36
EVT_SCH_010,Global Narrative Schema,events,multi_select,67.0,78.0,11.0,'transformation/redemption': human 67% vs AI 78%,11.0
EVT_SCH_011,Structural Completeness of Event Arc,events,ordinal,96.0,95.0,-1.0,'full_arc_with_resolution': human 96% vs AI 95%,1.0
EVT_SCH_013,Tension Escalation Pattern,events,categorical,5.0,1.0,-4.0,'episodic_peaks': human 5% vs AI 1%,4.0
EVT_SCH_014,Clear Single Climactic Event,events,binary,84.0,90.0,6.0,'yes': human 84% vs AI 90%,6.0
PER_POV_001,Dominant narrative person,perspective,categorical,56.0,65.0,9.0,'third_person': human 56% vs AI 65%,9.0
PER_POV_007,Embedded documents as narrative voices,perspective,binary,79.0,74.0,-5.0,'absent': human 79% vs AI 74%,5.0
PER_POV_008,Degree of heteroglossia and polyphony,perspective,scale,2.3,2.15,-0.15,mean human 2.30 vs AI 2.15,0.15
PER_POV_009,Frequency of direct address to the reader,perspective,ordinal,77.0,94.0,17.0,'never': human 77% vs AI 94%,17.0
PER_POV_003,Narrator's diegetic status,perspective,categorical,57.0,65.0,8.0,'heterodiegetic_external': human 57% vs AI 65%,8.0
PER_FOC_001,Depth of interior access to characters,perspective,scale,3.68,3.93,0.25,mean human 3.68 vs AI 3.93,0.25
PER_FOC_002,Breadth of focalization across characters,perspective,categorical,79.0,91.0,11.0,'single_focal_character': human 79% vs AI 91%,11.0
PER_FOC_003,Narrative distance (closeness of narrative voice to focalizer),perspective,scale,4.16,4.27,0.11,mean human 4.16 vs AI 4.27,0.11
PER_FOC_005,Intensity of free indirect discourse,perspective,scale,1.4,1.57,0.17,mean human 1.40 vs AI 1.57,0.17
PER_FOC_007,Narrator reliability,perspective,categorical,89.0,95.0,7.0,'reliable_or_neutral_reporter': human 89% vs AI 95%,7.0
PER_FOC_008,Narrator presence/visibility,perspective,scale,2.99,2.79,-0.2,mean human 2.99 vs AI 2.79,0.2
PER_FOC_009,Degree of explicit evaluative or moral commentary,perspective,scale,2.21,2.37,0.16,mean human 2.21 vs AI 2.37,0.16
PER_DIA_001,Dialogue-to-narration proportion,perspective,scale,2.95,2.71,-0.24,mean human 2.95 vs AI 2.71,0.24
PER_DIA_002,Dialogue tagging style,perspective,categorical,93.0,98.0,4.0,'standard_speech_tags_and_action_beats': human 93% vs AI 98%,4.0
PER_DIA_003,Primary functions of dialogue,perspective,multi_select,34.0,59.0,24.0,'philosophical_or_thematic_debate': human 34% vs AI 59%,24.0
PER_DIA_006,Use of alternative dialogue-like forms,perspective,binary,96.0,95.0,0.0,'no': human 96% vs AI 95%,0.0
PER_DIA_005,Balance of direct versus indirect speech,perspective,categorical,79.0,85.0,7.0,'primarily_direct_quoted_speech': human 79% vs AI 85%,7.0
PLT_THM_001,Number of Central Themes,plot,categorical,17.0,18.0,1.0,'single_central_theme': human 17% vs AI 18%,1.0
PLT_THM_004,Thematic Domains,plot,multi_select,22.0,28.0,6.0,'nature/environment': human 22% vs AI 28%,6.0
PLT_THM_005,Thematic Resolution Pattern,plot,categorical,52.0,62.0,10.0,'reframed/transcended (tension transformed into new understanding)': human 52% vs AI 62%,10.0
PLT_THM_006,Dominant Narrative Archetype,plot,categorical,15.0,22.0,7.0,'coming_of_age/initiation': human 15% vs AI 22%,7.0
PLT_THM_007,Archetype Blending,plot,binary,28.0,30.0,2.0,'no (mostly single archetype)': human 28% vs AI 30%,2.0
PLT_THM_008,Thematic Unity,plot,scale,4.41,4.74,0.33,mean human 4.41 vs AI 4.74,0.33
PLT_THM_009,Integration of Subplots with Theme,plot,categorical,58.0,79.0,21.0,'no_subplots': human 58% vs AI 79%,21.0
PLT_THM_003,Abstract vs Concrete Thematic Orientation,plot,categorical,14.0,15.0,1.0,'psychological': human 14% vs AI 15%,1.0
PLT_CON_001,Primary Conflict Locus,plot,categorical,19.0,9.0,-10.0,'external': human 19% vs AI 9%,10.0
PLT_CON_004,Antagonist Ontology,plot,categorical,9.0,8.0,-1.0,'impersonal_environment_or_disaster': human 9% vs AI 8%,1.0
PLT_CON_007,Agency in Resolution,plot,categorical,46.0,69.0,23.0,'primarily_protagonist_choice': human 46% vs AI 69%,23.0
PLT_CON_002,Core Conflict Types,plot,multi_select,75.0,85.0,10.0,'person_vs_self': human 75% vs AI 85%,10.0
PLT_CON_003,Stakes Domains at Risk,plot,multi_select,64.0,75.0,11.0,'moral_or_spiritual_salvation': human 64% vs AI 75%,11.0
